date,ticker,Open,High,Low,Close,Adj Close,Volume
2018-11-16,BBRI.JK,3118.1279296875,3227.217041015625,3109.037109375,3172.67236328125,2048.219482421875,191148871.0
2018-11-19,BBRI.JK,3218.126220703125,3218.126220703125,3136.3095703125,3199.94482421875,2065.826171875,86540804.0
2018-11-20,BBRI.JK,3199.94482421875,3199.94482421875,3199.94482421875,3199.94482421875,2065.826171875,0.0
2018-11-21,BBRI.JK,3109.037109375,3154.490966796875,3045.40185546875,3118.1279296875,2013.0064697265625,151878633.0
2018-11-22,BBRI.JK,3118.1279296875,3227.217041015625,3118.1279296875,3227.217041015625,2083.4326171875,130140277.0
2018-11-23,BBRI.JK,3209.035400390625,3254.4892578125,3154.490966796875,3163.581787109375,2042.350830078125,85703360.0
2018-11-26,BBRI.JK,3136.3095703125,3227.217041015625,3136.3095703125,3218.126220703125,2077.5634765625,90217398.0
2018-11-27,BBRI.JK,3163.581787109375,3290.852294921875,3163.581787109375,3272.670654296875,2112.7763671875,190169964.0
2018-11-28,BBRI.JK,3318.12451171875,3327.21533203125,3254.4892578125,3318.12451171875,2142.12060546875,105678495.0
2018-11-29,BBRI.JK,3363.578369140625,3418.122802734375,3345.396728515625,3372.6689453125,2177.33349609375,152003595.0
2018-11-30,BBRI.JK,3327.21533203125,3354.487548828125,3281.761474609375,3290.852294921875,2124.513671875,233078735.0
2018-12-03,BBRI.JK,3381.759765625,3436.30419921875,3354.487548828125,3354.487548828125,2165.595947265625,150413738.0
2018-12-04,BBRI.JK,3354.487548828125,3409.031982421875,3345.396728515625,3372.6689453125,2177.33349609375,147855643.0
2018-12-05,BBRI.JK,3309.03369140625,3345.396728515625,3281.761474609375,3318.12451171875,2142.12060546875,154153142.0
2018-12-06,BBRI.JK,3309.03369140625,3345.396728515625,3281.761474609375,3318.12451171875,2142.12060546875,119712097.0
2018-12-07,BBRI.JK,3309.03369140625,3327.21533203125,3281.761474609375,3290.852294921875,2124.513671875,122365123.0
2018-12-10,BBRI.JK,3281.761474609375,3299.943115234375,3245.3984375,3281.761474609375,2118.645263671875,102384708.0
