ticker,missing_date
ASII.JK,2020-12-24
ASII.JK,2020-12-25
ASII.JK,2020-12-31
ASII.JK,2021-01-01
ASII.JK,2021-02-12
ASII.JK,2021-03-11
ASII.JK,2021-04-02
ASII.JK,2021-05-12
ASII.JK,2021-05-13
ASII.JK,2021-05-14
ASII.JK,2021-05-26
ASII.JK,2021-06-01
ASII.JK,2021-07-20
ASII.JK,2021-08-11
ASII.JK,2021-08-17
ASII.JK,2021-10-20
ASII.JK,2021-12-31
ASII.JK,2022-02-01
ASII.JK,2022-02-28
ASII.JK,2022-03-03
ASII.JK,2022-04-15
ASII.JK,2022-04-29
ASII.JK,2022-05-02
ASII.JK,2022-05-03
ASII.JK,2022-05-04
ASII.JK,2022-05-05
ASII.JK,2022-05-06
ASII.JK,2022-05-16
ASII.JK,2022-05-26
ASII.JK,2022-06-01
ASII.JK,2022-08-17
ASII.JK,2023-01-23
ASII.JK,2023-03-22
ASII.JK,2023-03-23
ASII.JK,2023-04-07
ASII.JK,2023-04-19
ASII.JK,2023-04-20
ASII.JK,2023-04-21
ASII.JK,2023-04-24
ASII.JK,2023-04-25
ASII.JK,2023-05-01
ASII.JK,2023-05-18
ASII.JK,2023-05-24
ASII.JK,2023-06-01
ASII.JK,2023-06-02
ASII.JK,2023-06-28
ASII.JK,2023-06-29
ASII.JK,2023-06-30
ASII.JK,2023-07-19
ASII.JK,2023-08-17
ASII.JK,2023-09-28
ASII.JK,2023-12-25
ASII.JK,2023-12-26
ASII.JK,2024-01-01
ASII.JK,2024-02-08
ASII.JK,2024-02-09
ASII.JK,2024-02-14
ASII.JK,2024-03-11
ASII.JK,2024-03-12
ASII.JK,2024-03-29
ASII.JK,2024-04-08
ASII.JK,2024-04-09
ASII.JK,2024-04-10
ASII.JK,2024-04-11
ASII.JK,2024-04-12
ASII.JK,2024-04-15
ASII.JK,2024-05-01
ASII.JK,2024-05-09
ASII.JK,2024-05-10
ASII.JK,2024-05-23
ASII.JK,2024-05-24
ASII.JK,2024-06-17
ASII.JK,2024-06-18
ASII.JK,2024-09-16
ASII.JK,2024-11-27
ASII.JK,2024-12-25
ASII.JK,2024-12-26
ASII.JK,2024-12-31
ASII.JK,2025-01-01
ASII.JK,2025-01-27
ASII.JK,2025-01-28
ASII.JK,2025-01-29
ASII.JK,2025-03-28
ASII.JK,2025-03-31
ASII.JK,2025-04-01
ASII.JK,2025-04-02
ASII.JK,2025-04-03
ASII.JK,2025-04-04
ASII.JK,2025-04-07
ASII.JK,2025-04-18
ASII.JK,2025-05-01
ASII.JK,2025-05-12
ASII.JK,2025-05-13
ASII.JK,2025-05-29
ASII.JK,2025-05-30
ASII.JK,2025-06-06
ASII.JK,2025-06-09
ASII.JK,2025-06-27
ASII.JK,2025-08-18
ASII.JK,2025-09-05
BBCA.JK,2017-02-15
BBCA.JK,2017-03-28
BBCA.JK,2017-04-05
BBCA.JK,2017-04-14
BBCA.JK,2017-04-19
BBCA.JK,2017-04-24
BBCA.JK,2017-05-01
BBCA.JK,2017-05-11
BBCA.JK,2017-05-25
BBCA.JK,2017-06-01
BBCA.JK,2017-06-23
BBCA.JK,2017-06-26
BBCA.JK,2017-06-27
BBCA.JK,2017-06-28
BBCA.JK,2017-06-29
BBCA.JK,2017-06-30
BBCA.JK,2017-08-17
BBCA.JK,2017-09-01
BBCA.JK,2017-09-21
BBCA.JK,2017-12-01
BBCA.JK,2017-12-25
BBCA.JK,2017-12-26
BBCA.JK,2018-01-01
BBCA.JK,2018-02-16
BBCA.JK,2018-03-30
BBCA.JK,2018-04-16
BBCA.JK,2018-04-17
BBCA.JK,2018-04-19
BBCA.JK,2018-04-20
BBCA.JK,2018-04-25
BBCA.JK,2018-04-26
BBCA.JK,2018-04-27
BBCA.JK,2018-05-01
BBCA.JK,2018-05-10
BBCA.JK,2018-05-14
BBCA.JK,2018-05-29
BBCA.JK,2018-06-01
BBCA.JK,2018-06-11
BBCA.JK,2018-06-12
BBCA.JK,2018-06-13
BBCA.JK,2018-06-14
BBCA.JK,2018-06-15
BBCA.JK,2018-06-18
BBCA.JK,2018-06-19
BBCA.JK,2018-08-17
BBCA.JK,2018-08-22
BBCA.JK,2018-09-11
BBCA.JK,2018-11-20
BBCA.JK,2018-12-24
BBCA.JK,2018-12-25
BBCA.JK,2018-12-31
BBCA.JK,2019-01-01
BBCA.JK,2019-02-05
BBCA.JK,2019-03-07
BBCA.JK,2019-04-03
BBCA.JK,2019-04-17
BBCA.JK,2019-04-19
BBCA.JK,2019-05-01
BBCA.JK,2019-05-30
BBCA.JK,2019-06-03
BBCA.JK,2019-06-04
BBCA.JK,2019-06-05
BBCA.JK,2019-06-06
BBCA.JK,2019-06-07
BBCA.JK,2019-06-19
BBCA.JK,2019-12-24
BBCA.JK,2019-12-25
BBCA.JK,2019-12-31
BBCA.JK,2020-01-01
BBCA.JK,2020-03-13
BBCA.JK,2020-03-16
BBCA.JK,2020-03-25
BBCA.JK,2020-04-10
BBCA.JK,2020-05-01
BBCA.JK,2020-05-07
BBCA.JK,2020-05-21
BBCA.JK,2020-05-22
BBCA.JK,2020-05-25
BBCA.JK,2020-06-01
BBCA.JK,2020-07-31
BBCA.JK,2020-08-17
BBCA.JK,2020-08-20
BBCA.JK,2020-08-21
BBCA.JK,2020-10-28
BBCA.JK,2020-10-29
BBCA.JK,2020-10-30
BBCA.JK,2020-12-09
BBCA.JK,2020-12-24
BBCA.JK,2020-12-25
BBCA.JK,2020-12-31
BBCA.JK,2021-01-01
BBCA.JK,2021-02-12
BBCA.JK,2021-03-11
BBCA.JK,2021-04-02
BBCA.JK,2021-05-12
BBCA.JK,2021-05-13
BBCA.JK,2021-05-14
BBCA.JK,2021-05-26
BBCA.JK,2021-06-01
BBCA.JK,2021-07-20
BBCA.JK,2021-08-11
BBCA.JK,2021-08-17
BBCA.JK,2021-10-20
BBCA.JK,2021-12-31
BBCA.JK,2022-02-01
BBCA.JK,2022-02-28
BBCA.JK,2022-03-03
BBCA.JK,2022-04-15
BBCA.JK,2022-04-29
BBCA.JK,2022-05-02
BBCA.JK,2022-05-03
BBCA.JK,2022-05-04
BBCA.JK,2022-05-05
BBCA.JK,2022-05-06
BBCA.JK,2022-05-16
BBCA.JK,2022-05-26
BBCA.JK,2022-06-01
BBCA.JK,2022-08-17
BBCA.JK,2023-01-23
BBCA.JK,2023-03-22
BBCA.JK,2023-03-23
BBCA.JK,2023-04-07
BBCA.JK,2023-04-19
BBCA.JK,2023-04-20
BBCA.JK,2023-04-21
BBCA.JK,2023-04-24
BBCA.JK,2023-04-25
BBCA.JK,2023-05-01
BBCA.JK,2023-05-18
BBCA.JK,2023-05-24
BBCA.JK,2023-06-01
BBCA.JK,2023-06-02
BBCA.JK,2023-06-28
BBCA.JK,2023-06-29
BBCA.JK,2023-06-30
BBCA.JK,2023-07-19
BBCA.JK,2023-08-17
BBCA.JK,2023-09-28
BBCA.JK,2023-12-25
BBCA.JK,2023-12-26
BBCA.JK,2024-01-01
BBCA.JK,2024-02-08
BBCA.JK,2024-02-09
BBCA.JK,2024-02-14
BBCA.JK,2024-03-11
BBCA.JK,2024-03-12
BBCA.JK,2024-03-29
BBCA.JK,2024-04-08
BBCA.JK,2024-04-09
BBCA.JK,2024-04-10
BBCA.JK,2024-04-11
BBCA.JK,2024-04-12
BBCA.JK,2024-04-15
BBCA.JK,2024-05-01
BBCA.JK,2024-05-09
BBCA.JK,2024-05-10
BBCA.JK,2024-05-23
BBCA.JK,2024-05-24
BBCA.JK,2024-06-17
BBCA.JK,2024-06-18
BBCA.JK,2024-09-16
BBCA.JK,2024-11-27
BBCA.JK,2024-12-25
BBCA.JK,2024-12-26
BBCA.JK,2024-12-31
BBCA.JK,2025-01-01
BBCA.JK,2025-01-27
BBCA.JK,2025-01-28
BBCA.JK,2025-01-29
BBCA.JK,2025-03-28
BBCA.JK,2025-03-31
BBCA.JK,2025-04-01
BBCA.JK,2025-04-02
BBCA.JK,2025-04-03
BBCA.JK,2025-04-04
BBCA.JK,2025-04-07
BBCA.JK,2025-04-18
BBCA.JK,2025-05-01
BBCA.JK,2025-05-12
BBCA.JK,2025-05-13
BBCA.JK,2025-05-29
BBCA.JK,2025-05-30
BBCA.JK,2025-06-06
BBCA.JK,2025-06-09
BBCA.JK,2025-06-27
BBCA.JK,2025-08-18
BBCA.JK,2025-09-05
BBRI.JK,2017-02-15
BBRI.JK,2017-03-28
BBRI.JK,2017-04-05
BBRI.JK,2017-04-14
BBRI.JK,2017-04-19
BBRI.JK,2017-04-24
BBRI.JK,2017-05-01
BBRI.JK,2017-05-11
BBRI.JK,2017-05-25
BBRI.JK,2017-06-01
BBRI.JK,2017-06-23
BBRI.JK,2017-06-26
BBRI.JK,2017-06-27
BBRI.JK,2017-06-28
BBRI.JK,2017-06-29
BBRI.JK,2017-06-30
BBRI.JK,2017-08-17
BBRI.JK,2017-09-01
BBRI.JK,2017-09-21
BBRI.JK,2017-12-01
BBRI.JK,2017-12-25
BBRI.JK,2017-12-26
BBRI.JK,2018-01-01
BBRI.JK,2018-02-16
BBRI.JK,2018-03-30
BBRI.JK,2018-04-16
BBRI.JK,2018-04-17
BBRI.JK,2018-04-19
BBRI.JK,2018-04-20
BBRI.JK,2018-04-25
BBRI.JK,2018-04-26
BBRI.JK,2018-04-27
BBRI.JK,2018-05-01
BBRI.JK,2018-05-10
BBRI.JK,2018-05-14
BBRI.JK,2018-05-29
BBRI.JK,2018-06-01
BBRI.JK,2018-06-11
BBRI.JK,2018-06-12
BBRI.JK,2018-06-13
BBRI.JK,2018-06-14
BBRI.JK,2018-06-15
BBRI.JK,2018-06-18
BBRI.JK,2018-06-19
BBRI.JK,2018-08-17
BBRI.JK,2018-08-22
BBRI.JK,2018-09-11
BBRI.JK,2018-11-20
BBRI.JK,2018-12-24
BBRI.JK,2018-12-25
BBRI.JK,2018-12-31
BBRI.JK,2019-01-01
BBRI.JK,2019-02-05
BBRI.JK,2019-03-07
BBRI.JK,2019-04-03
BBRI.JK,2019-04-17
BBRI.JK,2019-04-19
BBRI.JK,2019-05-01
BBRI.JK,2019-05-30
BBRI.JK,2019-06-03
BBRI.JK,2019-06-04
BBRI.JK,2019-06-05
BBRI.JK,2019-06-06
BBRI.JK,2019-06-07
BBRI.JK,2019-06-19
BBRI.JK,2019-12-24
BBRI.JK,2019-12-25
BBRI.JK,2019-12-31
BBRI.JK,2020-01-01
BBRI.JK,2020-03-13
BBRI.JK,2020-03-16
BBRI.JK,2020-03-25
BBRI.JK,2020-04-10
BBRI.JK,2020-05-01
BBRI.JK,2020-05-07
BBRI.JK,2020-05-21
BBRI.JK,2020-05-22
BBRI.JK,2020-05-25
BBRI.JK,2020-06-01
BBRI.JK,2020-07-31
BBRI.JK,2020-08-17
BBRI.JK,2020-08-20
BBRI.JK,2020-08-21
BBRI.JK,2020-10-28
BBRI.JK,2020-10-29
BBRI.JK,2020-10-30
BBRI.JK,2020-12-09
BBRI.JK,2020-12-24
BBRI.JK,2020-12-25
BBRI.JK,2020-12-31
BBRI.JK,2021-01-01
BBRI.JK,2021-02-12
BBRI.JK,2021-03-11
BBRI.JK,2021-04-02
BBRI.JK,2021-05-12
BBRI.JK,2021-05-13
BBRI.JK,2021-05-14
BBRI.JK,2021-05-26
BBRI.JK,2021-06-01
BBRI.JK,2021-07-20
BBRI.JK,2021-08-11
BBRI.JK,2021-08-17
BBRI.JK,2021-10-20
BBRI.JK,2021-12-31
BBRI.JK,2022-02-01
BBRI.JK,2022-02-28
BBRI.JK,2022-03-03
BBRI.JK,2022-04-15
BBRI.JK,2022-04-29
BBRI.JK,2022-05-02
BBRI.JK,2022-05-03
BBRI.JK,2022-05-04
BBRI.JK,2022-05-05
BBRI.JK,2022-05-06
BBRI.JK,2022-05-16
BBRI.JK,2022-05-26
BBRI.JK,2022-06-01
BBRI.JK,2022-08-17
BBRI.JK,2023-01-23
BBRI.JK,2023-03-22
BBRI.JK,2023-03-23
BBRI.JK,2023-04-07
BBRI.JK,2023-04-19
BBRI.JK,2023-04-20
BBRI.JK,2023-04-21
BBRI.JK,2023-04-24
BBRI.JK,2023-04-25
BBRI.JK,2023-05-01
BBRI.JK,2023-05-18
BBRI.JK,2023-05-24
BBRI.JK,2023-06-01
BBRI.JK,2023-06-02
BBRI.JK,2023-06-28
BBRI.JK,2023-06-29
BBRI.JK,2023-06-30
BBRI.JK,2023-07-19
BBRI.JK,2023-08-17
BBRI.JK,2023-09-28
BBRI.JK,2023-12-25
BBRI.JK,2023-12-26
BBRI.JK,2024-01-01
BBRI.JK,2024-02-08
BBRI.JK,2024-02-09
BBRI.JK,2024-02-14
BBRI.JK,2024-03-11
BBRI.JK,2024-03-12
BBRI.JK,2024-03-29
BBRI.JK,2024-04-08
BBRI.JK,2024-04-09
BBRI.JK,2024-04-10
BBRI.JK,2024-04-11
BBRI.JK,2024-04-12
BBRI.JK,2024-04-15
BBRI.JK,2024-05-01
BBRI.JK,2024-05-09
BBRI.JK,2024-05-10
BBRI.JK,2024-05-23
BBRI.JK,2024-05-24
BBRI.JK,2024-06-17
BBRI.JK,2024-06-18
BBRI.JK,2024-09-16
BBRI.JK,2024-11-27
BBRI.JK,2024-12-25
BBRI.JK,2024-12-26
BBRI.JK,2024-12-31
BBRI.JK,2025-01-01
BBRI.JK,2025-01-27
BBRI.JK,2025-01-28
BBRI.JK,2025-01-29
BBRI.JK,2025-03-28
BBRI.JK,2025-03-31
BBRI.JK,2025-04-01
BBRI.JK,2025-04-02
BBRI.JK,2025-04-03
BBRI.JK,2025-04-04
BBRI.JK,2025-04-07
BBRI.JK,2025-04-18
BBRI.JK,2025-05-01
BBRI.JK,2025-05-12
BBRI.JK,2025-05-13
BBRI.JK,2025-05-29
BBRI.JK,2025-05-30
BBRI.JK,2025-06-06
BBRI.JK,2025-06-09
BBRI.JK,2025-06-27
BBRI.JK,2025-08-18
BBRI.JK,2025-09-05
BMRI.JK,2017-02-15
BMRI.JK,2017-03-28
BMRI.JK,2017-04-05
BMRI.JK,2017-04-14
BMRI.JK,2017-04-19
BMRI.JK,2017-04-24
BMRI.JK,2017-05-01
BMRI.JK,2017-05-11
BMRI.JK,2017-05-25
BMRI.JK,2017-06-01
BMRI.JK,2017-06-23
BMRI.JK,2017-06-26
BMRI.JK,2017-06-27
BMRI.JK,2017-06-28
BMRI.JK,2017-06-29
BMRI.JK,2017-06-30
BMRI.JK,2017-08-17
BMRI.JK,2017-09-01
BMRI.JK,2017-09-21
BMRI.JK,2017-12-01
BMRI.JK,2017-12-25
BMRI.JK,2017-12-26
BMRI.JK,2018-01-01
BMRI.JK,2018-02-16
BMRI.JK,2018-03-30
BMRI.JK,2018-04-16
BMRI.JK,2018-04-17
BMRI.JK,2018-04-19
BMRI.JK,2018-04-20
BMRI.JK,2018-04-25
BMRI.JK,2018-04-26
BMRI.JK,2018-04-27
BMRI.JK,2018-05-01
BMRI.JK,2018-05-10
BMRI.JK,2018-05-14
BMRI.JK,2018-05-29
BMRI.JK,2018-06-01
BMRI.JK,2018-06-11
BMRI.JK,2018-06-12
BMRI.JK,2018-06-13
BMRI.JK,2018-06-14
BMRI.JK,2018-06-15
BMRI.JK,2018-06-18
BMRI.JK,2018-06-19
BMRI.JK,2018-08-17
BMRI.JK,2018-08-22
